0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264
1.0,0.13021,0.25642,0.24358,0.25642,0.25642,0.2318,0.13711,0.24661,0.15344,0.18489,0.12652,0.25642,0.19964,0.01149,0.10869,0.2318,0.15588,0.17734,0.25642,0.1401,0.11143,0.15783,0.24358,0.19964,0.03567,0.25642,0.25642,0.22095,0.14847,0.25642,0.16381,0.13433,0.09375,0.14607,0.24358,0.25642,0.21092,0.0957,0.25642,0.03371,0.20162,0.2318,0.28967,0.25642,0.25642,0.13611,0.28597,0.26292,0.25642,0.2318,0.24358,0.15737,0.05506,0.19296,0.2318,2e-05,0.24358,0.22095,0.24358,0.24358,0.25642,0.25642,0.00256,0.24358,0.09864,0.21442,0.12263,0.21515,0.20162,0.21092,0.2318,0.13579,0.18191,0.10386,0.16828,0.12874,0.24358,0.22095,0.25642,0.18489,0.00088,0.08415,0.15296,0.18489,0.17705,0.1599,0.20326,0.13268,0.12767,0.22095,0.21092,0.13738,0.03039,0.15299,0.14332,0.18092,0.16861,0.25642,0.12995,0.13811,0.197,0.14227,0.19964,0.12697,0.25642,0.16714,0.17026,0.24358,0.15149,0.24358,0.15294,0.13019,0.24358,0.25642,0.12652,0.14065,0.11686,0.25642,0.2318,0.15752,0.14336,0.16362,0.24358,0.14552,0.17388,0.33322,0.25642,0.1803,0.25892,0.1357,0.20162,0.66004,0.24358,0.19322,0.1599,0.15149,0.2318,0.25642,0.24358,0.14565,0.16861,0.14068,0.24358,0.25642,0.0805,0.02015,0.24358,0.25642,0.2318,0.13923,0.11825,0.2318,0.09189,0.19724,0.15563,0.31449,0.14349,0.07519,0.25642,0.04449,0.1895,0.27666,0.19296,0.06406,0.25642,0.20162,0.10304,0.24358,0.25642,0.11437,0.16175,0.15926,0.16187,0.17797,0.25642,0.2318,0.20162,0.20499,0.19139,0.25642,0.06406,0.24358,0.22095,0.24358,0.2318,0.24358,0.24358,0.24358,0.00729,0.18092,0.00511,0.1638,0.16132,0.25642,0.1498,0.15737,0.05506,0.05506,0.24358,0.16707,0.11279,0.07519,0.2318,0.25642,0.10005,0.22095,0.24358,0.17148,0.14065,0.25642,0.14568,0.24358,0.24358,0.15149,0.1803,0.25642,0.25642,0.17063,0.10801,0.07121,0.25642,0.13021,0.13268,0.15621,0.16166,0.25642,0.13812,0.13568,0.15312,0.22095,0.08178,0.25642,0.15988,0.15141,0.25642,0.25642,0.0773,0.2318,0.2318,0.14548,0.19459,0.25642,0.30103,0.12105,0.25642,0.18489,0.18489,0.17026,0.21092,0.25642,0.25642,0.18489,0.24358,0.19296,0.16861,0.00119,0.02091,0.14654,0.24358,0.10312,0.14646,0.25642,0.16765,0.13707
0.13021,1.0,0.24081,0.36838,0.34383,0.3967,0.34383,0.17338,0.24755,0.20601,0.25642,0.16362,0.3967,0.24794,0.01287,0.15498,0.34383,0.2357,0.24358,0.21386,0.18674,0.13608,0.22396,0.36838,0.24794,0.04157,0.21106,0.3967,0.32227,0.22019,0.3967,0.22917,0.20446,0.15079,0.19196,0.36838,0.23681,0.30313,0.10891,0.3967,0.05665,0.28597,0.34383,0.16435,0.3967,0.3967,0.23027,0.22748,0.23609,0.24835,0.34383,0.20085,0.21092,0.06575,0.27049,0.34383,0.00918,0.36838,0.32227,0.36838,0.36838,0.3967,0.3967,0.0141,0.36838,0.14327,0.24794,0.18078,0.25982,0.28597,0.30313,0.34383,0.21055,0.21072,0.08454,0.21887,0.1666,0.22401,0.32227,0.30313,0.14591,0.01069,0.10386,0.59169,0.25642,0.22221,0.24121,0.22888,0.19104,0.18146,0.32227,0.30313,0.19757,0.04271,0.19802,0.17987,0.23483,0.20839,0.20104,0.19464,0.20182,0.2492,0.14195,0.24794,0.13166,0.3967,0.22523,0.2318,0.36838,0.20162,0.36838,0.26502,0.21823,0.27157,0.29725,0.12263,0.68652,0.16997,0.3967,0.20973,0.20721,0.21322,0.22095,0.36838,0.19752,0.18226,0.23917,0.3967,0.19304,0.27398,0.17734,0.28597,0.1522,0.36838,0.23377,0.24121,0.20162,0.34383,0.3967,0.36838,0.22665,0.20839,0.10283,0.20324,0.3967,0.10399,0.02321,0.36838,0.3967,0.34383,0.21249,0.17129,0.34383,0.11437,0.25958,0.23783,0.19667,0.17247,0.09189,0.3967,0.05244,0.24278,0.21471,0.34987,0.0773,0.3967,0.28597,0.09973,0.36838,0.3967,0.14593,0.23246,0.21567,0.21285,0.23503,0.3967,0.34383,0.28597,0.25517,0.24215,0.3967,0.07316,0.36838,0.32227,0.36838,0.34383,0.36838,0.36838,0.36838,0.06118,0.23483,0.00828,0.1855,0.22004,0.3967,0.222,0.21092,0.05357,0.06243,0.36838,0.2336,0.16699,0.09189,0.34383,0.3967,0.09559,0.32227,0.36838,0.42995,0.68652,0.3967,0.21795,0.36838,0.36838,0.14277,0.23439,0.3967,0.3967,0.27499,0.09419,0.08178,0.3967,0.62836,0.19104,0.18386,0.20563,0.3967,0.16874,0.20666,0.27671,0.32227,0.06097,0.3967,0.1792,0.20979,0.3967,0.3967,0.09469,0.34383,0.18442,0.2161,0.27055,0.3967,0.1898,0.18025,0.3967,0.13019,0.25642,0.2318,0.30313,0.3967,0.3967,0.25642,0.36838,0.27049,0.20839,0.01151,0.02384,0.65338,0.36838,0.14884,0.20539,0.22665,0.25851,0.21392
0.25642,0.24081,1.0,0.52008,0.47006,0.58637,0.47006,0.3967,0.47006,0.52008,0.32227,0.19296,0.58637,0.58637,0.01375,0.34383,0.47006,0.58637,0.30313,0.31083,0.42998,0.27049,0.58637,0.52008,0.58637,0.04552,0.3067,0.58637,0.42998,0.52008,0.58637,0.58637,0.52008,0.19055,0.42998,0.52008,0.58637,0.3967,0.17734,0.58637,0.02051,0.36838,0.47006,0.30313,0.58637,0.58637,0.42578,0.33556,0.58637,0.45921,0.47006,0.27978,0.25642,0.07316,0.34383,0.47006,0.00838,0.52008,0.42998,0.52008,0.52008,0.58637,0.58637,0.01501,0.52008,0.10929,0.58637,0.42998,0.52008,0.36838,0.3967,0.47006,0.58637,0.42998,0.10033,0.3967,0.34383,0.52008,0.42998,0.3967,0.18288,0.0102,0.11822,0.33564,0.32227,0.58637,0.58637,0.42998,0.42998,0.3967,0.42998,0.3967,0.3967,0.05786,0.42998,0.36838,0.58637,0.47006,0.2774,0.47006,0.47006,0.58637,0.20162,0.8,0.22095,0.58637,0.58637,0.28597,0.52008,0.24358,0.52008,0.45802,0.36319,0.38716,0.58085,0.14017,0.27748,0.3967,0.58637,0.47006,0.42998,0.52008,0.27049,0.52008,0.47006,0.42998,0.58637,0.58637,0.47006,0.58637,0.21092,0.36838,0.30313,0.52008,0.52008,0.58637,0.24358,0.47006,0.58637,0.52008,0.58637,0.47006,0.12255,0.28463,0.58637,0.14068,0.02438,0.52008,0.58637,0.47006,0.52008,0.36838,0.47006,0.13099,0.3029,0.58637,0.47006,0.36838,0.10386,0.58637,0.05786,0.47006,0.42998,0.41737,0.08663,0.58637,0.36838,0.14593,0.52008,0.58637,0.17026,0.52008,0.3967,0.58637,0.58637,0.58637,0.47006,0.36838,0.58637,0.58637,0.58637,0.08178,0.52008,0.42998,0.52008,0.47006,0.52008,0.52008,0.52008,0.07806,0.58637,3e-05,0.36838,0.52008,0.58637,0.52008,0.25642,0.06133,0.06932,0.52008,0.58637,0.42998,0.10386,0.47006,0.58637,0.1357,0.42998,0.52008,0.42998,0.27748,0.58637,0.52008,0.52008,0.52008,0.16725,0.58637,0.58637,0.58637,0.58637,0.10067,0.09189,0.58637,0.24081,0.42998,0.36838,0.47006,0.58637,0.36838,0.52008,0.34319,0.42998,0.11437,0.58637,0.34383,0.52008,0.58637,0.58637,0.1072,0.47006,0.24819,0.52008,0.42998,0.58637,0.3967,0.47006,0.58637,0.15861,0.32227,0.28597,0.3967,0.58637,0.58637,0.32227,0.52008,0.34383,0.47006,0.01133,0.02574,0.3025,0.52008,0.36838,0.58637,0.58637,0.38494,0.58637
0.24358,0.36838,0.52008,1.0,0.29108,0.3168,0.23926,0.36838,0.42998,0.47006,0.15948,0.18489,0.52008,0.52008,0.01352,0.32227,0.24308,0.26708,0.28597,0.52008,0.3967,0.25642,0.52008,0.47006,0.52008,0.03031,0.52008,0.52008,0.3967,0.47006,0.52008,0.52008,0.24249,0.27049,0.3967,0.2435,0.28431,0.36838,0.17026,0.52008,0.01398,0.34383,0.42998,0.28597,0.26451,0.28437,0.27973,0.52008,0.52008,0.52008,0.42998,0.47006,0.24358,0.07121,0.32227,0.42998,0.00502,0.47006,0.3967,0.47006,0.58637,0.52008,0.52008,0.00289,0.47006,0.14593,0.52008,0.3967,0.47006,0.34383,0.42998,0.42998,0.27297,0.3967,0.14593,0.36838,0.32227,0.47006,0.3967,0.18912,0.30313,0.01929,0.12227,0.52008,0.30313,0.52008,0.52008,0.3967,0.3967,0.36838,0.3967,0.36838,0.36838,0.05644,0.3967,0.34383,0.52008,0.42998,0.42998,0.42998,0.42998,0.26566,0.19296,0.52008,0.21092,0.26708,0.52008,0.34383,0.47006,0.2318,0.24163,0.52008,0.36838,0.47006,0.52008,0.1196,0.42998,0.36838,0.52008,0.42998,0.3967,0.47006,0.25642,0.47006,0.42998,0.3967,0.52008,0.52008,0.42998,0.52008,0.20162,0.34383,0.28597,0.47006,0.47006,0.52008,0.2318,0.42998,0.52008,0.25344,0.52008,0.42998,0.19296,0.47006,0.52008,0.1357,0.0243,0.47006,0.52008,0.42998,0.47006,0.34383,0.22058,0.12652,0.52008,0.52008,0.42998,0.34383,0.24696,0.52008,0.05644,0.42998,0.3967,0.32227,0.05101,0.52008,0.34383,0.14068,0.28791,0.29786,0.16362,0.47006,0.36838,0.52008,0.28891,0.52008,0.52008,0.34383,0.52008,0.52008,0.36394,0.05055,0.47006,0.3967,0.47006,0.42998,0.25018,0.47006,0.38792,0.00844,0.52008,3e-05,0.34383,0.47006,0.52008,0.47006,0.13046,0.04705,0.06751,0.47006,0.52008,0.3967,0.10067,0.42998,0.52008,0.13099,0.21575,0.24594,0.3967,0.42998,0.52008,0.47006,0.47006,0.47006,0.2318,0.52008,0.52008,0.28035,0.52008,0.09761,0.05078,0.52008,0.36838,0.3967,0.34383,0.42998,0.27461,0.34383,0.47006,0.52008,0.3967,0.07504,0.52008,0.32227,0.47006,0.30949,0.52008,0.10386,0.42998,0.42998,0.24684,0.3967,0.52008,0.36838,0.42998,0.52008,0.14318,0.30313,0.27049,0.36838,0.52008,0.52008,0.30313,0.47006,0.32227,0.42998,0.00133,0.02525,0.47006,0.47006,0.34383,0.52008,0.52008,0.47006,0.52008
0.25642,0.34383,0.47006,0.29108,1.0,0.60703,0.58637,0.34383,0.3967,0.42998,0.28597,0.17734,0.47006,0.47006,0.01421,0.30313,0.3967,0.47006,0.27049,0.47006,0.36838,0.24358,0.47006,0.42998,0.47006,0.04348,0.47006,0.47006,0.36838,0.68561,0.47006,0.47006,0.42998,0.25642,0.36838,0.22636,0.26927,0.34383,0.16362,0.47006,0.01375,0.32227,0.3967,0.30313,0.24046,0.27103,0.2608,0.58637,0.58637,0.47006,0.3967,0.42998,0.2318,0.06932,0.30313,0.3967,0.00628,0.42998,0.36838,0.42998,0.42998,0.47006,0.47006,0.00285,0.42998,0.14068,0.58637,0.36838,0.42998,0.32227,0.34383,0.3967,0.47006,0.36838,0.16362,0.58637,0.34383,0.42998,0.36838,0.17807,0.28597,0.00101,0.1107,0.47006,0.28597,0.47006,0.47006,0.68561,0.52008,0.34383,0.36838,0.34383,0.34383,0.05506,0.36838,0.42998,0.47006,0.3967,0.47006,0.3967,0.3967,0.47006,0.18489,0.47006,0.24358,0.47006,0.47006,0.25642,0.42998,0.22095,0.42998,0.47006,0.34383,0.42998,0.47006,0.11294,0.3967,0.34383,0.47006,0.3967,0.36838,0.42998,0.24358,0.42998,0.3967,0.42998,0.58637,0.47006,0.8,0.47006,0.19296,0.32227,0.27049,0.42998,0.42998,0.47006,0.22095,0.3967,0.47006,0.42998,0.47006,0.3967,0.20162,0.42998,0.47006,0.13099,0.02574,0.42998,0.47006,0.3967,0.42998,0.32227,0.20506,0.12227,0.47006,0.47006,0.47006,0.32227,0.34542,0.47006,0.05506,0.8,0.68561,0.30313,0.05308,0.47006,0.32227,0.1357,0.25553,0.28559,0.15737,0.42998,0.34383,0.47006,0.47006,0.47006,0.3967,0.32227,0.47006,0.47006,0.27132,0.08178,0.42998,0.36838,0.42998,0.3967,0.23499,0.42998,0.26444,0.00832,0.47006,3e-05,0.36838,0.42998,0.47006,0.42998,0.12639,0.04951,0.06575,0.42998,0.47006,0.36838,0.09761,0.3967,0.47006,0.12652,0.2083,0.22895,0.36838,0.3967,0.47006,0.42998,0.42998,0.42998,0.22095,0.47006,0.47006,0.26051,0.47006,0.09469,0.05352,0.47006,0.34383,0.36838,0.32227,0.3967,0.47006,0.32227,0.42998,0.47006,0.36838,0.12227,0.47006,0.30313,0.42998,0.3088,0.47006,0.11437,0.3967,0.3967,0.42998,0.36838,0.47006,0.3967,0.3967,0.47006,0.1534,0.28597,0.25642,0.34383,0.47006,0.47006,0.28597,0.42998,0.30313,0.3967,0.00137,0.02477,0.42998,0.42998,0.32227,0.47006,0.47006,0.42998,0.47006
0.25642,0.3967,0.58637,0.3168,0.60703,1.0,0.47006,0.3967,0.47006,0.52008,0.32227,0.19296,0.58637,0.58637,0.01375,0.34383,0.47006,0.58637,0.30313,0.58637,0.42998,0.27049,0.58637,0.52008,0.58637,0.04552,0.58637,0.58637,0.42998,0.52008,0.58637,0.58637,0.52008,0.28597,0.42998,0.26852,0.3238,0.3967,0.17734,0.58637,0.01421,0.36838,0.47006,0.30313,0.2968,0.317,0.31626,0.58637,0.58637,0.58637,0.47006,0.52008,0.25642,0.07316,0.34383,0.47006,0.00417,0.52008,0.42998,0.52008,0.52008,0.58637,0.58637,0.00292,0.52008,0.15149,0.58637,0.42998,0.52008,0.36838,0.3967,0.47006,0.58637,0.42998,0.15149,0.3967,0.34383,0.52008,0.42998,0.20243,0.32227,0.00099,0.11822,0.58637,0.32227,0.58637,0.58637,0.42998,0.42998,0.3967,0.42998,0.3967,0.3967,0.05786,0.42998,0.36838,0.58637,0.47006,0.47006,0.47006,0.47006,0.58637,0.20162,0.58637,0.22095,0.58637,0.58637,0.28597,0.52008,0.24358,0.52008,0.58637,0.3967,0.52008,0.58637,0.11339,0.47006,0.3967,0.58637,0.47006,0.42998,0.52008,0.27049,0.52008,0.47006,0.42998,0.58637,0.58637,0.47006,0.58637,0.21092,0.36838,0.30313,0.52008,0.52008,0.58637,0.24358,0.47006,0.58637,0.52008,0.58637,0.47006,0.20162,0.52008,0.58637,0.14068,0.02477,0.52008,0.58637,0.47006,0.52008,0.36838,0.24004,0.13099,0.58637,0.58637,0.47006,0.36838,0.31664,0.58637,0.05786,0.47006,0.42998,0.34383,0.0524,0.58637,0.36838,0.14593,0.29024,0.33509,0.17026,0.52008,0.3967,0.58637,0.58637,0.58637,0.47006,0.36838,0.58637,0.58637,0.32331,0.08178,0.52008,0.42998,0.52008,0.47006,0.27198,0.52008,0.30103,0.00857,0.58637,3e-05,0.36838,0.52008,0.58637,0.52008,0.13692,0.0489,0.06932,0.52008,0.58637,0.42998,0.10386,0.47006,0.58637,0.1357,0.22937,0.27162,0.42998,0.47006,0.58637,0.52008,0.52008,0.52008,0.24358,0.58637,0.58637,0.31221,0.58637,0.10067,0.0516,0.58637,0.3967,0.42998,0.36838,0.47006,0.58637,0.36838,0.52008,0.58637,0.42998,0.11437,0.58637,0.34383,0.52008,0.35416,0.58637,0.1072,0.47006,0.47006,0.52008,0.42998,0.58637,0.3967,0.47006,0.58637,0.15076,0.32227,0.28597,0.3967,0.58637,0.58637,0.32227,0.52008,0.34383,0.47006,0.00134,0.02574,0.52008,0.52008,0.36838,0.58637,0.58637,0.52008,0.58637
0.2318,0.34383,0.47006,0.23926,0.58637,0.47006,1.0,0.22977,0.3967,0.27284,0.16058,0.17734,0.31836,0.47006,0.01421,0.30313,0.3967,0.47006,0.27049,0.47006,0.36838,0.24358,0.47006,0.42998,0.47006,0.04555,0.47006,0.47006,0.42998,0.68561,0.47006,0.47006,0.42998,0.25642,0.36838,0.42998,0.47006,0.34383,0.16362,0.47006,0.01375,0.36838,0.3967,0.27049,0.47006,0.47006,0.47006,0.47006,0.47006,0.47006,0.3967,0.42998,0.2318,0.06932,0.30313,0.3967,2e-05,0.42998,0.36838,0.42998,0.42998,0.47006,0.47006,0.00285,0.29833,0.14068,0.47006,0.36838,0.42998,0.32227,0.34383,0.3967,0.24207,0.36838,0.16362,0.25942,0.30313,0.42998,0.42998,0.34383,0.28597,0.02682,0.1107,0.47006,0.28597,0.47006,0.47006,0.52008,0.52008,0.34383,0.36838,0.34383,0.34383,0.05506,0.36838,0.42998,0.47006,0.3967,0.3967,0.22866,0.3967,0.47006,0.18489,0.47006,0.24358,0.296,0.47006,0.28597,0.42998,0.22095,0.42998,0.47006,0.34383,0.42998,0.47006,0.17734,0.3967,0.34383,0.47006,0.3967,0.36838,0.42998,0.24358,0.42998,0.3967,0.36838,0.47006,0.47006,0.58637,0.47006,0.19296,0.20399,0.27049,0.25785,0.42998,0.47006,0.15333,0.3967,0.47006,0.31778,0.47006,0.3967,0.18489,0.42998,0.47006,0.13099,0.02574,0.42998,0.47006,0.3967,0.42998,0.32227,0.3967,0.12227,0.47006,0.47006,0.3967,0.32227,0.09761,0.47006,0.05506,0.58637,0.52008,0.30313,0.08178,0.47006,0.32227,0.1357,0.26205,0.47006,0.15737,0.42998,0.34383,0.47006,0.25252,0.47006,0.3967,0.32227,0.47006,0.47006,0.25725,0.11441,0.42998,0.36838,0.42998,0.3967,0.42998,0.42998,0.2395,0.00832,0.47006,3e-05,0.32227,0.42998,0.47006,0.42998,0.13538,0.06145,0.06575,0.42998,0.47006,0.36838,0.09761,0.3967,0.47006,0.12652,0.42998,0.22765,0.36838,0.3967,0.47006,0.42998,0.42998,0.42998,0.22095,0.47006,0.47006,0.25056,0.47006,0.09469,0.08663,0.47006,0.34383,0.36838,0.32227,0.3967,0.47006,0.32227,0.42998,0.47006,0.36838,0.17224,0.47006,0.30313,0.42998,0.47006,0.47006,0.11437,0.3967,0.3967,0.42998,0.36838,0.47006,0.34383,0.3967,0.47006,0.25642,0.28597,0.28597,0.34383,0.47006,0.47006,0.28597,0.42998,0.30313,0.3967,0.00137,0.02477,0.42998,0.42998,0.32227,0.47006,0.47006,0.42998,0.2416
0.13711,0.17338,0.3967,0.36838,0.34383,0.3967,0.22977,1.0,0.41945,0.61499,0.25642,0.16362,0.22444,0.25526,0.03307,0.16232,0.3967,0.21668,0.24358,0.3967,0.30702,0.25636,0.34424,0.19288,0.25526,0.04157,0.3967,0.3967,0.17401,0.20219,0.3967,0.2371,0.19518,0.12181,0.19988,0.22115,0.3967,0.30313,0.40984,0.3967,0.02501,0.15421,0.19641,0.18787,0.3967,0.3967,0.20399,0.3967,0.24765,0.3967,0.34383,0.36838,0.21092,0.06575,0.27049,0.2037,2e-05,0.36838,0.21518,0.36838,0.36838,0.2217,0.3967,0.00278,0.21027,0.09434,0.25526,0.17194,0.24566,0.28597,0.19287,0.34383,0.21048,0.21805,0.13099,0.19961,0.179,0.36838,0.20489,0.30313,0.25642,0.00095,0.09324,0.22017,0.25642,0.31722,0.21792,0.18792,0.17747,0.1679,0.1795,0.15956,0.20885,0.05204,0.20365,0.1855,0.39956,0.37313,0.34383,0.19526,0.18825,0.25523,0.14544,0.25526,0.1428,0.2197,0.36562,0.1284,0.36838,0.20162,0.36838,0.28489,0.2381,0.36838,0.3967,0.16362,0.19374,0.18281,0.3967,0.34383,0.34934,0.2449,0.15178,0.36838,0.3178,0.17086,0.24982,0.23125,0.18164,0.41945,0.17734,0.15615,0.16025,0.19735,0.2411,0.21792,0.11397,0.19386,0.22433,0.36838,0.21134,0.4915,0.17026,0.36838,0.3967,0.0807,0.02295,0.36838,0.3967,0.18576,0.19717,0.15597,0.34383,0.11437,0.25534,0.23962,0.20356,0.43903,0.09189,0.28314,0.05048,0.18977,0.20892,0.27049,0.0773,0.3967,0.32227,0.26447,0.36838,0.3967,0.08612,0.46813,0.18255,0.43142,0.42825,0.21671,0.18463,0.15579,0.25866,0.25179,0.3967,0.05993,0.21238,0.32227,0.18959,0.34383,0.36838,0.20651,0.36838,0.00808,0.39956,0.00408,0.3278,0.35059,0.3967,0.20263,0.11508,0.04577,0.05254,0.21518,0.54511,0.16383,0.09761,0.18508,0.3967,0.26032,0.32227,0.18961,0.19403,0.19374,0.3967,0.24568,0.36838,0.36838,0.20162,0.24638,0.22724,0.2171,0.2308,0.10151,0.08178,0.3967,0.17338,0.17747,0.33667,0.45609,0.3967,0.40486,0.3515,0.28523,0.32227,0.10067,0.3967,0.31308,0.33007,0.3967,0.3967,0.09469,0.34383,0.34383,0.2011,0.19892,0.20447,0.20072,0.18416,0.3967,0.2318,0.1527,0.13215,0.30313,0.21792,0.3967,0.16606,0.36838,0.15949,0.37313,0.00129,0.02384,0.20601,0.36838,0.14568,0.20159,0.3967,0.38303,0.22756
0.24661,0.24755,0.47006,0.42998,0.3967,0.47006,0.3967,0.41945,1.0,0.44447,0.28597,0.17734,0.47006,0.46836,0.0133,0.18875,0.3967,0.30207,0.27049,0.47006,0.30509,0.24269,0.35593,0.42998,0.46836,0.04348,0.47006,0.47006,0.36838,0.27882,0.47006,0.3872,0.25345,0.14862,0.33636,0.42998,0.47006,0.34383,0.19631,0.47006,0.07429,0.32227,0.3967,0.34247,0.47006,0.47006,0.25321,0.47006,0.39909,0.47006,0.3967,0.42998,0.2318,0.06932,0.30313,0.3967,2e-05,0.42998,0.36838,0.42998,0.42998,0.47006,0.47006,0.00285,0.42998,0.15688,0.46836,0.22115,0.44227,0.32227,0.34383,0.3967,0.25596,0.41752,0.14068,0.27992,0.2049,0.42998,0.36838,0.34383,0.28597,0.00097,0.1107,0.31066,0.28597,0.31281,0.31611,0.26886,0.2344,0.22213,0.36838,0.34383,0.25146,0.06308,0.3765,0.35345,0.39233,0.35566,0.3967,0.24291,0.24856,0.42816,0.31521,0.46836,0.27294,0.47006,0.34426,0.25642,0.42998,0.22095,0.42998,0.29272,0.22961,0.42998,0.47006,0.17734,0.27398,0.20601,0.47006,0.3967,0.321,0.26338,0.24358,0.42998,0.31925,0.23386,0.41606,0.47006,0.24802,0.63503,0.19296,0.32227,0.28482,0.42998,0.44833,0.31611,0.22095,0.3967,0.47006,0.42998,0.29503,0.57211,0.18489,0.42998,0.47006,0.14657,0.02384,0.42998,0.47006,0.3967,0.27499,0.22114,0.3967,0.12227,0.42899,0.30107,0.32906,0.28288,0.09761,0.47006,0.05506,0.26085,0.33747,0.30313,0.08178,0.47006,0.32227,0.22516,0.42998,0.47006,0.15737,0.32759,0.27657,0.29764,0.50304,0.47006,0.3967,0.32227,0.4578,0.43314,0.47006,0.0773,0.42998,0.36838,0.42998,0.3967,0.42998,0.42998,0.42998,0.00832,0.39233,0.01668,0.27919,0.34059,0.47006,0.28317,0.2318,0.06932,0.06575,0.42998,0.35808,0.19904,0.09761,0.3967,0.47006,0.22056,0.36838,0.42998,0.30919,0.27398,0.47006,0.27323,0.42998,0.42998,0.22095,0.39001,0.47006,0.47006,0.34824,0.28068,0.08663,0.47006,0.24755,0.2344,0.30868,0.31585,0.47006,0.40696,0.25889,0.29328,0.36838,0.1072,0.47006,0.66157,0.33589,0.47006,0.47006,0.10067,0.3967,0.3967,0.26954,0.293,0.47006,0.32659,0.21521,0.47006,0.25642,0.28597,0.25642,0.34383,0.47006,0.47006,0.28597,0.42998,0.30313,0.35566,0.00131,0.02477,0.29062,0.42998,0.17599,0.25158,0.47006,0.33279,0.26197
0.15344,0.20601,0.52008,0.47006,0.42998,0.52008,0.27284,0.61499,0.44447,1.0,0.30313,0.18489,0.28613,0.31695,0.0334,0.18821,0.42998,0.27837,0.28597,0.52008,0.34424,0.2741,0.40593,0.24372,0.31695,0.04449,0.52008,0.52008,0.21122,0.25303,0.52008,0.29879,0.24602,0.14115,0.2371,0.27199,0.52008,0.36838,0.41923,0.52008,0.02535,0.18314,0.23948,0.19562,0.52008,0.52008,0.26568,0.52008,0.30934,0.52008,0.42998,0.47006,0.24358,0.07121,0.32227,0.24677,2e-05,0.47006,0.22934,0.47006,0.47006,0.28339,0.52008,0.00289,0.26111,0.10181,0.31695,0.20915,0.2965,0.34383,0.22549,0.42998,0.27217,0.25526,0.14593,0.23223,0.2049,0.47006,0.2421,0.36838,0.30313,0.00098,0.09849,0.28186,0.30313,0.37891,0.27961,0.22514,0.21469,0.20052,0.21672,0.19219,0.24148,0.05403,0.24086,0.21443,0.46125,0.4162,0.42998,0.23834,0.23133,0.31692,0.15679,0.31695,0.15582,0.28139,0.42731,0.14774,0.47006,0.2318,0.47006,0.34658,0.27073,0.47006,0.52008,0.18489,0.23681,0.21544,0.52008,0.42998,0.38656,0.29574,0.16952,0.47006,0.36088,0.20807,0.31151,0.29294,0.22471,0.44447,0.20162,0.18508,0.18145,0.24819,0.29194,0.27961,0.12906,0.23693,0.28602,0.47006,0.27303,0.47147,0.19296,0.47006,0.52008,0.08742,0.0243,0.47006,0.52008,0.22884,0.24801,0.1849,0.42998,0.12652,0.31703,0.30131,0.24664,0.46796,0.10067,0.34483,0.05247,0.23285,0.24613,0.32227,0.08415,0.52008,0.34383,0.27155,0.47006,0.52008,0.09497,0.51897,0.21518,0.49311,0.48994,0.2784,0.2277,0.18472,0.32035,0.31348,0.52008,0.06309,0.26322,0.3967,0.24043,0.42998,0.47006,0.25735,0.47006,0.00844,0.46125,0.00408,0.35673,0.40143,0.52008,0.25347,0.13141,0.04671,0.05507,0.26602,0.6068,0.20105,0.10067,0.22815,0.52008,0.2667,0.3967,0.24045,0.23125,0.23681,0.52008,0.29652,0.47006,0.47006,0.2318,0.30807,0.28893,0.27879,0.29249,0.10572,0.0892,0.52008,0.20601,0.21469,0.3656,0.49917,0.52008,0.39259,0.40234,0.34692,0.3967,0.1107,0.52008,0.29891,0.38091,0.52008,0.52008,0.10386,0.42998,0.42998,0.25194,0.23613,0.26616,0.23334,0.22724,0.52008,0.27049,0.17605,0.15149,0.36838,0.27961,0.52008,0.17464,0.47006,0.16906,0.4162,0.00133,0.02525,0.25685,0.47006,0.17461,0.26328,0.52008,0.43387,0.28925
