0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
1.0,4e-05,0.01906,0.02001,0.05186,0.00274,0.00073,0.0422,0.04042,0.0453,0.01033,0.03143,0.04949,0.10889,0.03376,0.03145,0.02246,0.01968,0.02001,0.0153,0.02754,0.02209,0.02404,0.04273,0.03316,0.03195,0.06664,0.04294,0.04719,0.04194,0.02363,0.02172,0.02136,0.02323,0.02323,0.02284,0.02323,0.02246,0.02284,0.02536,0.03604,0.04489,0.03415,0.02284,0.02033,0.01937,0.02209,0.02323,0.02363,0.0176,0.02323,0.02111,0.02363,0.02323,0.02363,0.02209,0.05521,0.02136,0.02172,0.05121,0.03624,0.02363,0.10504,0.02101,0.03563,0.04631,0.04548,0.0763,0.02404,0.04676,0.02404,0.0508,0.06035,0.04048,0.02323,0.04245,0.05041,0.07523,0.02323,0.02255,0.02363,0.02531,0.02323,0.01757,0.04013,0.04041,0.02445,0.02404,0.01937,0.04028,0.02404,0.04228,0.04213,0.07848,0.02323,0.02209,0.02363,0.02209,0.06827,0.0405,0.02246,0.02404,0.04175,0.02323,0.02284,0.02284,0.02246,0.04615,0.02323,0.2407,0.02363,0.02323,0.02363,0.0399,0.02246,0.02323,0.02284,0.02284,0.02033,0.07626,0.02323,0.09589,0.02323,0.03459,0.02323,0.03434
4e-05,1.0,6e-05,0.0109,0.00741,4e-05,1e-05,4e-05,0.00778,6e-05,3e-05,6e-05,0.00741,5e-05,0.0027,5e-05,0.00712,6e-05,6e-05,0.01651,6e-05,6e-05,0.0081,0.00514,6e-05,6e-05,0.00433,0.00514,0.00974,0.00514,6e-05,0.00575,6e-05,0.0109,6e-05,0.00791,6e-05,0.00513,0.0109,0.00565,0.00462,6e-05,6e-05,0.0109,6e-05,0.00513,0.00896,6e-05,0.00851,6e-05,0.0109,6e-05,0.00797,0.00851,6e-05,6e-05,0.00493,0.00933,6e-05,0.00741,0.0041,0.00993,6e-05,0.0146,6e-05,6e-05,6e-05,0.01123,0.0081,0.00974,6e-05,0.00741,6e-05,0.00945,0.0109,0.00576,0.00741,0.00521,0.00731,6e-05,6e-05,6e-05,0.01274,0.01294,0.00523,0.00528,0.0167,0.0081,0.0088,0.00474,6e-05,0.00573,0.00514,0.00816,6e-05,0.0083,0.00609,0.0083,6e-05,0.00534,0.00644,6e-05,0.00514,6e-05,6e-05,0.0083,6e-05,0.00646,0.0083,6e-05,6e-05,0.02844,6e-05,0.00518,0.00412,0.00571,6e-05,0.0109,6e-05,6e-05,6e-05,6e-05,0.0167,0.00266,6e-05,6e-05
0.01906,6e-05,1.0,0.08211,0.08425,0.00238,0.00061,0.02246,0.16189,0.17388,0.01173,0.16189,0.0936,0.08211,0.17388,0.08211,0.16189,0.11735,0.13694,0.0691,0.05619,0.0743,0.11735,0.12466,0.06591,0.07251,0.10752,0.13694,0.15637,0.15114,0.16772,0.14144,0.13694,0.17388,0.17388,0.16772,0.17388,0.16189,0.15637,0.17388,0.15637,0.12856,0.16772,0.16772,0.11735,0.12092,0.14617,0.15114,0.1804,0.09617,0.17388,0.16189,0.1804,0.17388,0.1804,0.15637,0.16189,0.14617,0.15114,0.15637,0.15637,0.13694,0.17388,0.14144,0.16772,0.16772,0.15114,0.15114,0.17388,0.16772,0.18732,0.16772,0.16189,0.15114,0.17388,0.16189,0.16772,0.16772,0.17388,0.16772,0.16772,0.15637,0.17388,0.17388,0.17388,0.17388,0.16772,0.17388,0.12092,0.16772,0.17388,0.17388,0.16772,0.15637,0.17388,0.15637,0.16772,0.15637,0.17388,0.16772,0.16189,0.17388,0.13694,0.16189,0.16772,0.16772,0.16189,0.16772,0.17388,0.17388,0.16772,0.17388,0.16772,0.17388,0.16189,0.17388,0.16772,0.16772,0.13265,0.17388,0.17388,0.17388,0.17388,0.17388,0.17388,0.17388
0.02001,0.0109,0.08211,1.0,0.28568,0.00274,0.00067,0.02284,0.13707,0.12856,0.01377,0.07145,0.27221,0.0691,0.10158,0.06591,0.1633,0.09113,0.06442,0.08319,0.0601,0.06591,0.16372,0.23151,0.07807,0.08211,0.11519,0.212,0.16265,0.21378,0.12466,0.14233,0.10451,0.21646,0.11346,0.14135,0.11346,0.13189,0.21085,0.12856,0.14354,0.10451,0.12466,0.2145,0.11632,0.11823,0.18033,0.11394,0.18097,0.07615,0.21646,0.09976,0.12185,0.18293,0.12466,0.11735,0.12909,0.18557,0.11394,0.28773,0.11559,0.08504,0.12856,0.37011,0.12466,0.12466,0.07936,0.11294,0.17337,0.16265,0.10755,0.28773,0.12856,0.22389,0.39037,0.1372,0.16565,0.14264,0.1661,0.09104,0.12466,0.09057,0.19564,0.07904,0.1412,0.14196,0.23299,0.17719,0.0936,0.21774,0.10928,0.1526,0.13388,0.08307,0.12856,0.10826,0.15627,0.10826,0.12856,0.1366,0.26078,0.07811,0.10451,0.0975,0.12466,0.11191,0.0975,0.22953,0.11387,0.12856,0.10251,0.14951,0.12466,0.13635,0.12994,0.14383,0.09983,0.2145,0.10162,0.12856,0.12856,0.12856,0.11428,0.11203,0.12856,0.12856
0.05186,0.00741,0.08425,0.28568,1.0,0.00316,0.00076,0.03195,0.33589,0.09046,0.01627,0.08745,0.48134,0.07124,0.21326,0.04568,0.14931,0.10451,0.06742,0.06971,0.08211,0.09617,0.15915,0.38341,0.11066,0.11735,0.26368,0.35403,0.37617,0.36047,0.14617,0.13327,0.12092,0.17889,0.1089,0.13006,0.1089,0.12343,0.17179,0.08263,0.30138,0.11394,0.14617,0.1764,0.10242,0.10647,0.15431,0.13265,0.15977,0.08646,0.17889,0.10237,0.11733,0.16225,0.14617,0.13694,0.30608,0.157,0.13265,0.4837,0.26968,0.09384,0.13301,0.27734,0.07675,0.14617,0.09027,0.13252,0.15249,0.38184,0.10608,0.4888,0.09527,0.35855,0.29697,0.33009,0.39431,0.3363,0.15292,0.09673,0.15637,0.09102,0.17154,0.09167,0.32459,0.32667,0.19055,0.15249,0.10752,0.35607,0.10693,0.34497,0.29976,0.10901,0.15114,0.10495,0.15253,0.10495,0.10188,0.32093,0.21091,0.08708,0.07426,0.10284,0.14617,0.10956,0.10284,0.42233,0.11204,0.10828,0.10202,0.1326,0.14617,0.31742,0.12689,0.1354,0.10061,0.1764,0.11735,0.10449,0.15114,0.11914,0.10928,0.21709,0.15114,0.15114
0.00274,4e-05,0.00238,0.00274,0.00316,1.0,0.01905,0.00299,0.0026,0.00243,0.06247,0.00249,0.00277,0.00208,0.00243,0.01261,0.00238,0.01158,0.02099,0.02691,0.00292,0.02305,0.00271,0.00265,0.01929,0.00316,0.00246,0.00257,0.00257,0.00243,0.00241,0.00229,0.00231,0.00243,0.02037,0.00241,0.02037,0.00238,0.00246,0.01062,0.00236,0.00241,0.00246,0.00241,0.02013,0.00217,0.00236,0.03412,0.00246,0.00208,0.00243,0.00243,0.00246,0.00243,0.02755,0.00236,0.00238,0.00231,0.00243,0.00251,0.00236,0.02496,0.00249,0.00249,0.00246,0.00246,0.00249,0.00249,0.00249,0.00251,0.00249,0.00251,0.00254,0.0026,0.00249,0.00243,0.00246,0.01262,0.00249,0.00246,0.00246,0.00257,0.02208,0.00249,0.00249,0.00249,0.00251,0.00243,0.01182,0.00246,0.00249,0.02603,0.00241,0.00241,0.00243,0.01141,0.00246,0.01141,0.00243,0.00241,0.00249,0.00533,0.00236,0.00238,0.00241,0.01141,0.00238,0.00246,0.01142,0.00243,0.03381,0.00249,0.02729,0.00249,0.00238,0.00243,0.09709,0.00241,0.07895,0.00243,0.00243,0.00243,0.00243,0.00243,0.00243,0.00243
0.00073,1e-05,0.00061,0.00067,0.00076,0.01905,1.0,0.00081,0.00065,0.01315,0.05373,0.00063,0.00069,0.00056,0.00062,0.00055,0.00062,0.06106,0.01787,0.05275,0.00072,0.00065,0.00069,0.00066,0.10293,0.00078,0.00068,0.00066,0.00065,0.00063,0.00789,0.0006,0.019,0.00063,0.00063,0.00064,0.00063,0.00063,0.00065,0.00062,0.00062,0.00064,0.00061,0.00061,0.01717,0.00058,0.00064,0.20066,0.00064,0.01217,0.00063,0.00063,0.00064,0.00063,0.00062,0.00307,0.00062,0.00061,0.00063,0.00065,0.00061,0.00065,0.00063,0.00064,0.00061,0.00061,0.00062,0.00062,0.00064,0.00064,0.00063,0.00064,0.00064,0.00064,0.00062,0.00065,0.00064,0.01093,0.00063,0.00062,0.00064,0.00065,0.04392,0.00063,0.00063,0.00063,0.00064,0.00063,0.00989,0.00064,0.00063,0.00062,0.00062,0.00061,0.00062,0.00948,0.00062,0.00948,0.00062,0.00061,0.00063,0.00062,0.00061,0.00061,0.00866,0.00948,0.00061,0.00064,0.00948,0.00063,0.00064,0.00062,0.00601,0.00063,0.00061,0.00062,0.00061,0.00062,0.00065,0.00062,0.02205,0.00062,0.00062,0.00063,0.00062,0.00062
0.0422,4e-05,0.02246,0.02284,0.03195,0.00299,0.00081,1.0,0.02969,0.02667,0.01225,0.02667,0.02667,0.02067,0.02667,0.01937,0.02667,0.02323,0.02363,0.01906,0.0546,0.02445,0.02864,0.02969,0.03195,0.03079,0.02363,0.02916,0.02813,0.02576,0.02813,0.02667,0.02531,0.02667,0.02667,0.02715,0.02667,0.02667,0.02531,0.02667,0.02531,0.08325,0.06579,0.02715,0.02404,0.02284,0.02531,0.02763,0.02813,0.02067,0.02763,0.02667,0.02813,0.02763,0.02813,0.02715,0.02667,0.02531,0.02667,0.02916,0.02621,0.02715,0.02667,0.02488,0.04357,0.08549,0.02864,0.02864,0.02864,0.02813,0.02763,0.02813,0.02864,0.02864,0.02667,0.02576,0.02621,0.02621,0.02763,0.02715,0.02715,0.02916,0.02667,0.02763,0.02763,0.02763,0.02715,0.02763,0.02209,0.02715,0.02763,0.02667,0.02621,0.02531,0.02763,0.02531,0.02715,0.02531,0.02667,0.02621,0.02576,0.02667,0.02363,0.02576,0.02621,0.02621,0.02576,0.02715,0.02667,0.04364,0.02621,0.02763,0.02715,0.02763,0.02576,0.02667,0.02621,0.02621,0.02323,0.02667,0.02667,0.02667,0.02667,0.02667,0.02667,0.06506
0.04042,0.00778,0.16189,0.13707,0.33589,0.0026,0.00065,0.02969,1.0,0.19331,0.01485,0.17333,0.32451,0.0874,0.30286,0.06657,0.22762,0.20251,0.12214,0.08059,0.08646,0.12092,0.16999,0.28966,0.09884,0.11066,0.28132,0.30517,0.55571,0.32489,0.34257,0.21462,0.25082,0.26221,0.20542,0.20549,0.20542,0.2074,0.23308,0.18743,0.3555,0.22939,0.34257,0.25139,0.1374,0.15119,0.21058,0.29025,0.2419,0.15637,0.26221,0.19605,0.21085,0.25272,0.34257,0.30595,0.37032,0.21214,0.29025,0.40192,0.43715,0.14763,0.22057,0.25368,0.17386,0.34257,0.18016,0.25235,0.28494,0.58634,0.20401,0.42023,0.17537,0.35558,0.26221,0.5002,0.47087,0.40813,0.29717,0.3776,0.38877,0.16629,0.31423,0.24108,0.42618,0.42767,0.32232,0.28494,0.21087,0.37407,0.20444,0.40052,0.35105,0.18972,0.36422,0.18668,0.28069,0.18668,0.20043,0.50922,0.25318,0.19153,0.13599,0.20229,0.34257,0.205,0.20229,0.40086,0.21582,0.20613,0.19236,0.2296,0.34257,0.3816,0.21164,0.26776,0.1916,0.25139,0.2397,0.20166,0.36422,0.21152,0.21344,0.32155,0.36422,0.36422
0.0453,6e-05,0.17388,0.12856,0.09046,0.00243,0.01315,0.02667,0.19331,1.0,0.0144,0.25334,0.10856,0.10496,0.31223,0.08091,0.48959,0.17868,0.30595,0.11735,0.09617,0.13694,0.2397,0.15446,0.17382,0.12466,0.12111,0.18062,0.20783,0.21783,0.28775,0.36422,0.2694,0.6035,0.6035,0.24289,0.6035,0.48959,0.45001,0.30821,0.20453,0.30595,0.53875,0.53875,0.26286,0.27596,0.38877,0.20188,0.53875,0.11332,0.6035,0.21091,0.53875,0.6035,0.28491,0.23905,0.25859,0.38877,0.41699,0.2399,0.24375,0.15914,0.35731,0.36422,0.27218,0.53875,0.21493,0.22781,0.41699,0.23845,0.6035,0.28427,0.25821,0.21724,0.6035,0.22069,0.28427,0.29451,0.6035,0.27196,0.53875,0.45001,0.6035,0.30323,0.31301,0.3131,0.53875,0.48959,0.27596,0.27813,0.6035,0.31389,0.27871,0.24562,0.3279,0.45001,0.53875,0.45001,0.4601,0.28083,0.48959,0.30757,0.18062,0.48959,0.28204,0.53875,0.48959,0.28275,0.6035,0.32949,0.53875,0.6035,0.2925,0.31292,0.48959,0.6035,0.53875,0.53875,0.32328,0.32395,0.34568,0.33891,0.6035,0.31116,0.6035,0.6035
